34,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1284,2329
35,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
36,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1284,2329
37,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
38,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1282,2329
39,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
40,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1284,2329
41,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
42,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1279,2329
43,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
44,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1286,2329
45,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
46,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1284,2329
47,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
48,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1284,2329
49,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
50,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1281,2329
51,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
52,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1282,2329
53,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
54,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1286,2329
55,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
56,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1286,2329
57,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
58,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1276,2329
59,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
60,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1277,2329
61,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
62,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1275,2329
63,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
64,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1281,2329
65,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
66,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1284,2329
67,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
68,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1281,2329
69,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
70,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1281,2329
71,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
72,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1282,2329
73,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
74,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1285,2329
75,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
76,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1281,2329
77,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
78,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1276,2329
79,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
80,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1281,2329
81,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
82,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1285,2329
83,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
84,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1283,2329
85,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
86,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1283,2329
87,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
88,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1283,2329
89,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
90,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1276,2329
91,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
92,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1284,2329
93,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
94,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1281,2329
95,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
96,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1286,2329
97,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
98,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1286,2329
99,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
100,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1276,2329
101,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
102,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1280,2329
103,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
104,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1276,2329
105,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
106,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1281,2329
107,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
108,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1282,2329
109,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
110,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1276,2329
111,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
112,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1278,2329
113,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
114,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1279,2329
115,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
116,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1276,2329
117,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
118,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1282,2329
119,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
120,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1282,2329
121,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
122,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1281,2329
123,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
124,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1280,2329
125,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
126,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1284,2329
127,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
128,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1278,2329
129,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
130,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1280,2329
131,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
132,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1277,2329
133,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
134,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1277,2329
135,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
136,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1278,2329
137,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
138,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1278,2329
139,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
140,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1280,2329
141,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
142,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1285,2329
143,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
144,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1276,2329
145,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
146,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1283,2329
147,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
148,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1286,2329
149,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
150,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1279,2329
151,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
152,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1279,2329
153,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
154,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1277,2329
155,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
156,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1282,2329
157,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
158,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1279,2329
159,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
160,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1279,2329
161,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
162,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1277,2329
163,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
164,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1276,2329
165,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
166,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1279,2329
167,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
168,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1284,2329
169,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
170,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1276,2329
171,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
172,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1277,2329
173,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
174,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1284,2329
175,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
176,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1282,2329
177,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
178,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1282,2329
179,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
180,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1284,2329
181,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
182,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1282,2329
183,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
184,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1275,2329
185,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
186,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1283,2329
187,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
188,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1283,2329
189,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
190,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1275,2329
191,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
192,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1281,2329
193,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
194,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1275,2329
195,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
196,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1276,2329
197,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
198,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1283,2329
199,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
200,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1280,2329
201,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
202,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1281,2329
203,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
204,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1279,2329
205,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
206,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1279,2329
207,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
208,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1280,2329
209,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
210,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1283,2329
211,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
212,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1281,2329
213,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
214,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1279,2329
215,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
216,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1277,2329
217,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
218,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1282,2329
219,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
220,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1286,2329
221,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
222,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1280,2329
223,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
224,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1281,2329
225,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
226,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1280,2329
227,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
228,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1282,2329
229,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
230,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1281,2329
231,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
232,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1286,2329
233,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
234,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1281,2329
235,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
236,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1281,2329
237,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
238,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1282,2329
239,"DiscussionAll Space Questions thread for week of January 02, 2022 (self.space)",AutoModerator,•,2
240,MegathreadJames Webb Space Telescope Megathread - Deployment & Journey to Lagrange Point 2 (self.space),Pluto_and_Charon,1283,2329
